		
Present Positive Plain<br>買う	買う<br>(C1)<br>[sound:jva-0001_買う.mp3]
Present Positive Polite<br>問う	問います<br>(P1)<br>[sound:jva-0603_問います.mp3]
Present Negative Polite<br>問う	問いません<br>(P1)<br>[sound:jva-0604_問いません.mp3]
Past Positive Plain<br>問う	問った<br>(P1)<br>[sound:jva-0605_問った.mp3]
Past Negative Plain<br>問う	問わなかった<br>(P1)<br>[sound:jva-0606_問わなかった.mp3]
Past Positive Polite<br>問う	問いました<br>(P1)<br>[sound:jva-0607_問いました.mp3]
Past Negative Polite<br>問う	問いませんでした<br>(P1)<br>[sound:jva-0608_問いませんでした.mp3]
-te Form<br>問う	問って<br>(P1)<br>[sound:jva-0609_問って.mp3]
Volitional<br>問う	問おう<br>(P1)<br>[sound:jva-0610_問おう.mp3]
Potential<br>問う	問える<br>(P1)<br>[sound:jva-0611_問える.mp3]
Passive<br>問う	問われる<br>(P1)<br>[sound:jva-0612_問われる.mp3]
Causative<br>問う	問わせる<br>(P1)<br>[sound:jva-0613_問わせる.mp3]
Imperative<br>問う	問え<br>(P1)<br>[sound:jva-0614_問え.mp3]
Conditional<br>問う	問えば<br>(P1)<br>[sound:jva-0615_問えば.mp3]
Present Positive Plain<br>呼ぶ	呼ぶ<br>(Q1)<br>[sound:jva-0616_呼ぶ.mp3]
Present Negative Plain<br>呼ぶ	呼ばない<br>(Q1)<br>[sound:jva-0617_呼ばない.mp3]
Present Positive Polite<br>呼ぶ	呼びます<br>(Q1)<br>[sound:jva-0618_呼びます.mp3]
Present Negative Polite<br>呼ぶ	呼びません<br>(Q1)<br>[sound:jva-0619_呼びません.mp3]
Past Positive Plain<br>呼ぶ	呼んだ<br>(Q1)<br>[sound:jva-0620_呼んだ.mp3]
Past Negative Plain<br>呼ぶ	呼ばなかった<br>(Q1)<br>[sound:jva-0621_呼ばなかった.mp3]
Past Positive Polite<br>呼ぶ	呼びました<br>(Q1)<br>[sound:jva-0622_呼びました.mp3]
Past Negative Polite<br>呼ぶ	呼びませんでした<br>(Q1)<br>[sound:jva-0623_呼びませんでした.mp3]
-te Form<br>呼ぶ	呼んで<br>(Q1)<br>[sound:jva-0624_呼んで.mp3]
Volitional<br>呼ぶ	呼ぼう<br>(Q1)<br>[sound:jva-0625_呼ぼう.mp3]
Potential<br>呼ぶ	呼べる<br>(Q1)<br>[sound:jva-0626_呼べる.mp3]
Passive<br>呼ぶ	呼ばれる<br>(Q1)<br>[sound:jva-0627_呼ばれる.mp3]
Causative<br>呼ぶ	呼ばせる<br>(Q1)<br>[sound:jva-0628_呼ばせる.mp3]
Imperative<br>呼ぶ	呼べ<br>(Q1)<br>[sound:jva-0629_呼べ.mp3]
Conditional<br>呼ぶ	呼べば<br>(Q1)<br>[sound:jva-0630_呼べば.mp3]
Present Positive Plain<br>学ぶ	学ぶ<br>(Q2)<br>[sound:jva-0631_学ぶ.mp3]
Present Negative Plain<br>学ぶ	学ばない<br>(Q2)<br>[sound:jva-0632_学ばない.mp3]
Present Positive Polite<br>学ぶ	学びます<br>(Q2)<br>[sound:jva-0633_学びます.mp3]
Present Negative Polite<br>学ぶ	学びません<br>(Q2)<br>[sound:jva-0634_学びません.mp3]
Past Positive Plain<br>学ぶ	学んだ<br>(Q2)<br>[sound:jva-0635_学んだ.mp3]
Past Negative Plain<br>学ぶ	学ばなかった<br>(Q2)<br>[sound:jva-0636_学ばなかった.mp3]
Past Positive Polite<br>学ぶ	学びました<br>(Q2)<br>[sound:jva-0637_学びました.mp3]
Past Negative Polite<br>学ぶ	学びませんでした<br>(Q2)<br>[sound:jva-0638_学びませんでした.mp3]
-te Form<br>学ぶ	学んで<br>(Q2)<br>[sound:jva-0639_学んで.mp3]
Volitional<br>学ぶ	学ぼう<br>(Q2)<br>[sound:jva-0640_学ぼう.mp3]
Potential<br>学ぶ	学べる<br>(Q2)<br>[sound:jva-0641_学べる.mp3]
Passive<br>学ぶ	学ばれる<br>(Q2)<br>[sound:jva-0642_学ばれる.mp3]
Causative<br>学ぶ	学ばせる<br>(Q2)<br>[sound:jva-0643_学ばせる.mp3]
Imperative<br>学ぶ	学べ<br>(Q2)<br>[sound:jva-0644_学べ.mp3]
Conditional<br>学ぶ	学べば<br>(Q2)<br>[sound:jva-0645_学べば.mp3]
Present Positive Plain<br>並ぶ	並ぶ<br>(Q3)<br>[sound:jva-0646_並ぶ.mp3]
Present Negative Plain<br>並ぶ	並ばない<br>(Q3)<br>[sound:jva-0647_並ばない.mp3]
Present Positive Polite<br>並ぶ	並びます<br>(Q3)<br>[sound:jva-0648_並びます.mp3]
Present Negative Polite<br>並ぶ	並びません<br>(Q3)<br>[sound:jva-0649_並びません.mp3]
Past Positive Plain<br>並ぶ	並んだ<br>(Q3)<br>[sound:jva-0650_並んだ.mp3]
Past Negative Plain<br>並ぶ	並ばなかった<br>(Q3)<br>[sound:jva-0651_並ばなかった.mp3]
Past Positive Polite<br>並ぶ	並びました<br>(Q3)<br>[sound:jva-0652_並びました.mp3]
Past Negative Polite<br>並ぶ	並びませんでした<br>(Q3)<br>[sound:jva-0653_並びませんでした.mp3]
-te Form<br>並ぶ	並んで<br>(Q3)<br>[sound:jva-0654_並んで.mp3]
Volitional<br>並ぶ	並ぼう<br>(Q3)<br>[sound:jva-0655_並ぼう.mp3]
Potential<br>並ぶ	並べる<br>(Q3)<br>[sound:jva-0656_並べる.mp3]
Passive<br>並ぶ	並ばれる<br>(Q3)<br>[sound:jva-0657_並ばれる.mp3]
Causative<br>並ぶ	並ばせる<br>(Q3)<br>[sound:jva-0658_並ばせる.mp3]
Imperative<br>並ぶ	並べ<br>(Q3)<br>[sound:jva-0659_並べ.mp3]
Conditional<br>並ぶ	並べば<br>(Q3)<br>[sound:jva-0660_並べば.mp3]
Present Positive Plain<br>入る	入る<br>(R1)<br>[sound:jva-0661_入る.mp3]
Present Negative Plain<br>入る	入らない<br>(R1)<br>[sound:jva-0662_入らない.mp3]
Present Positive Polite<br>入る	入ります<br>(R1)<br>[sound:jva-0663_入ります.mp3]
Present Negative Polite<br>入る	入りません<br>(R1)<br>[sound:jva-0664_入りません.mp3]
Past Positive Plain<br>入る	入った<br>(R1)<br>[sound:jva-0665_入った.mp3]
Past Negative Plain<br>入る	入らなかった<br>(R1)<br>[sound:jva-0666_入らなかった.mp3]
Past Positive Polite<br>入る	入りました<br>(R1)<br>[sound:jva-0667_入りました.mp3]
Past Negative Polite<br>入る	入りませんでした<br>(R1)<br>[sound:jva-0668_入りませんでした.mp3]
-te Form<br>入る	入って<br>(R1)<br>[sound:jva-0669_入って.mp3]
Volitional<br>入る	入ろう<br>(R1)<br>[sound:jva-0670_入ろう.mp3]
Potential<br>入る	入れる<br>(R1)<br>[sound:jva-0671_入れる.mp3]
Passive<br>入る	入られる<br>(R1)<br>[sound:jva-0672_入られる.mp3]
Causative<br>入る	入れさせる<br>(R1)<br>[sound:jva-0673_入れさせる.mp3]
Imperative<br>入る	入れ<br>(R1)<br>[sound:jva-0674_入れ.mp3]
Conditional<br>入る	入れば<br>(R1)<br>[sound:jva-0675_入れば.mp3]
Present Positive Plain<br>作る	作る<br>(R2)<br>[sound:jva-0676_作る.mp3]
Present Negative Plain<br>作る	作らない<br>(R2)<br>[sound:jva-0677_作らない.mp3]
Present Positive Polite<br>作る	作ります<br>(R2)<br>[sound:jva-0678_作ります.mp3]
Present Negative Polite<br>作る	作りません<br>(R2)<br>[sound:jva-0679_作りません.mp3]
Past Positive Plain<br>作る	作った<br>(R2)<br>[sound:jva-0680_作った.mp3]
Past Negative Plain<br>作る	作らなかった<br>(R2)<br>[sound:jva-0681_作らなかった.mp3]
Past Positive Polite<br>作る	作りました<br>(R2)<br>[sound:jva-0682_作りました.mp3]
Past Negative Polite<br>作る	作りませんでした<br>(R2)<br>[sound:jva-0683_作りませんでした.mp3]
-te Form<br>作る	作って<br>(R2)<br>[sound:jva-0684_作って.mp3]
Volitional<br>作る	作ろう<br>(R2)<br>[sound:jva-0685_作ろう.mp3]
Potential<br>作る	作れる<br>(R2)<br>[sound:jva-0686_作れる.mp3]
Passive<br>作る	作られる<br>(R2)<br>[sound:jva-0687_作られる.mp3]
Causative<br>作る	作らせる<br>(R2)<br>[sound:jva-0688_作らせる.mp3]
Imperative<br>作る	作れ<br>(R2)<br>[sound:jva-0689_作れ.mp3]
Conditional<br>作る	作れば<br>(R2)<br>[sound:jva-0690_作れば.mp3]
Present Positive Plain<br>知る	知る<br>(R3)<br>[sound:jva-0691_知る.mp3]
Present Negative Plain<br>知る	知らない<br>(R3)<br>[sound:jva-0692_知らない.mp3]
Present Positive Polite<br>知る	知ります<br>(R3)<br>[sound:jva-0693_知ります.mp3]
Present Negative Polite<br>知る	知りません<br>(R3)<br>[sound:jva-0694_知りません.mp3]
Past Positive Plain<br>知る	知った<br>(R3)<br>[sound:jva-0695_知った.mp3]
Past Negative Plain<br>知る	知らなかった<br>(R3)<br>[sound:jva-0696_知らなかった.mp3]
Past Positive Polite<br>知る	知りました<br>(R3)<br>[sound:jva-0697_知りました.mp3]
Past Negative Polite<br>知る	知りませんでした<br>(R3)<br>[sound:jva-0698_知りませんでした.mp3]
-te Form<br>知る	知って<br>(R3)<br>[sound:jva-0699_知って.mp3]
Volitional<br>知る	知ろう<br>(R3)<br>[sound:jva-0700_知ろう.mp3]
Potential<br>知る	知れる<br>(R3)<br>[sound:jva-0701_知れる.mp3]
Passive<br>知る	知られる<br>(R3)<br>[sound:jva-0702_知られる.mp3]
Causative<br>知る	知らせる<br>(R3)<br>[sound:jva-0703_知らせる.mp3]
Imperative<br>知る	知れ<br>(R3)<br>[sound:jva-0704_知れ.mp3]
Conditional<br>知る	知れば<br>(R3)<br>[sound:jva-0705_知れば.mp3]
Present Positive Plain<br>分かる	分かる<br>(R4)<br>[sound:jva-0706_分かる.mp3]
Present Negative Plain<br>分かる	分からない<br>(R4)<br>[sound:jva-0707_分からない.mp3]
Present Positive Polite<br>分かる	分かります<br>(R4)<br>[sound:jva-0708_分かります.mp3]
Present Negative Polite<br>分かる	分かりません<br>(R4)<br>[sound:jva-0709_分かりません.mp3]
Past Positive Plain<br>分かる	分かった<br>(R4)<br>[sound:jva-0710_分かった.mp3]
Past Negative Plain<br>分かる	分からなかった<br>(R4)<br>[sound:jva-0711_分からなかった.mp3]
Past Positive Polite<br>分かる	分かりました<br>(R4)<br>[sound:jva-0712_分かりました.mp3]
Past Negative Polite<br>分かる	分かりませんでした<br>(R4)<br>[sound:jva-0713_分かりませんでした.mp3]
-te Form<br>分かる	分かって<br>(R4)<br>[sound:jva-0714_分かって.mp3]
Volitional<br>分かる	分かろう<br>(R4)<br>[sound:jva-0715_分かろう.mp3]
Potential<br>分かる	分かれる<br>(R4)<br>[sound:jva-0716_分かれる.mp3]
Passive<br>分かる	分かれる<br>(R4)<br>[sound:jva-0717_分かれる.mp3]
Causative<br>分かる	分からせる<br>(R4)<br>[sound:jva-0718_分からせる.mp3]
Imperative<br>分かる	分かれ<br>(R4)<br>[sound:jva-0719_分かれ.mp3]
Conditional<br>分かる	分かれば<br>(R4)<br>[sound:jva-0720_分かれば.mp3]
Present Positive Plain<br>なさる	なさる<br>(S1)<br>[sound:jva-0721_なさる.mp3]
Present Negative Plain<br>なさる	なさらない<br>(S1)<br>[sound:jva-0722_なさらない.mp3]
Present Positive Polite<br>なさる	なさいます<br>(S1)<br>[sound:jva-0723_なさいます.mp3]
Present Negative Polite<br>なさる	なさいません<br>(S1)<br>[sound:jva-0724_なさいません.mp3]
Past Positive Plain<br>なさる	なさった<br>(S1)<br>[sound:jva-0725_なさった.mp3]
Past Negative Plain<br>なさる	なさらなかった<br>(S1)<br>[sound:jva-0726_なさらなかった.mp3]
Past Positive Polite<br>なさる	なさいました<br>(S1)<br>[sound:jva-0727_なさいました.mp3]
Past Negative Polite<br>なさる	なさいませんでした<br>(S1)<br>[sound:jva-0728_なさいませんでした.mp3]
-te Form<br>なさる	なさって<br>(S1)<br>[sound:jva-0729_なさって.mp3]
Volitional<br>なさる	なさろう<br>(S1)<br>[sound:jva-0730_なさろう.mp3]
Potential<br>なさる	なされる<br>(S1)<br>[sound:jva-0731_なされる.mp3]
Passive<br>なさる	なさられる<br>(S1)<br>[sound:jva-0732_なさられる.mp3]
Causative<br>なさる	なさらせる<br>(S1)<br>[sound:jva-0733_なさらせる.mp3]
Imperative<br>なさる	なさって<br>(S1)<br>[sound:jva-0734_なさって.mp3]
Conditional<br>なさる	なされば<br>(S1)<br>[sound:jva-0735_なされば.mp3]
Present Positive Plain<br>下さる	下さる<br>(S2)<br>[sound:jva-0736_下さる.mp3]
Present Negative Plain<br>下さる	下さらない<br>(S2)<br>[sound:jva-0737_下さらない.mp3]
Present Positive Polite<br>下さる	下さいます<br>(S2)<br>[sound:jva-0738_下さいます.mp3]
Present Negative Polite<br>下さる	下さいません<br>(S2)<br>[sound:jva-0739_下さいません.mp3]
Past Positive Plain<br>下さる	下さった<br>(S2)<br>[sound:jva-0740_下さった.mp3]
Past Negative Plain<br>下さる	下さらなかった<br>(S2)<br>[sound:jva-0741_下さらなかった.mp3]
Past Positive Polite<br>下さる	下さいました<br>(S2)<br>[sound:jva-0742_下さいました.mp3]
Past Negative Polite<br>下さる	下さいませんでした<br>(S2)<br>[sound:jva-0743_下さいませんでした.mp3]
-te Form<br>下さる	下さって<br>(S2)<br>[sound:jva-0744_下さって.mp3]
Volitional<br>下さる	下さろう<br>(S2)<br>[sound:jva-0745_下さろう.mp3]
Potential<br>下さる	下される<br>(S2)<br>[sound:jva-0746_下される.mp3]
Passive<br>下さる	下さられる<br>(S2)<br>[sound:jva-0747_下さられる.mp3]
Causative<br>下さる	下さらせる<br>(S2)<br>[sound:jva-0748_下さらせる.mp3]
Imperative<br>下さる	下さい<br>(S2)<br>[sound:jva-0749_下さい.mp3]
Conditional<br>下さる	下されば<br>(S2)<br>[sound:jva-0750_下されば.mp3]
Present Positive Plain<br>仰る	仰る<br>(S3)<br>[sound:jva-0751_仰る.mp3]
Present Negative Plain<br>仰る	仰らない<br>(S3)<br>[sound:jva-0752_仰らない.mp3]
Present Positive Polite<br>仰る	仰います<br>(S3)<br>[sound:jva-0753_仰います.mp3]
Present Negative Polite<br>仰る	仰いません<br>(S3)<br>[sound:jva-0754_仰いません.mp3]
Past Positive Plain<br>仰る	仰った<br>(S3)<br>[sound:jva-0755_仰った.mp3]
Past Negative Plain<br>仰る	仰らなかった<br>(S3)<br>[sound:jva-0756_仰らなかった.mp3]
Past Positive Polite<br>仰る	仰いました<br>(S3)<br>[sound:jva-0757_仰いました.mp3]
Past Negative Polite<br>仰る	仰いませんでした<br>(S3)<br>[sound:jva-0758_仰いませんでした.mp3]
-te Form<br>仰る	仰って<br>(S3)<br>[sound:jva-0759_仰って.mp3]
Volitional<br>仰る	仰りましょう<br>(S3)<br>[sound:jva-0760_仰りましょう.mp3]
Potential<br>仰る	仰れる<br>(S3)<br>[sound:jva-0761_仰れる.mp3]
Passive<br>仰る	仰られる<br>(S3)<br>[sound:jva-0762_仰られる.mp3]
Causative<br>仰る	仰らせる<br>(S3)<br>[sound:jva-0763_仰らせる.mp3]
Imperative<br>仰る	仰って<br>(S3)<br>[sound:jva-0764_仰って.mp3]
Conditional<br>仰る	仰れば<br>(S3)<br>[sound:jva-0765_仰れば.mp3]
Present Positive Plain<br>だ	だ<br>(T1)<br>[sound:jva-0766_だ.mp3]
Present Negative Plain<br>だ	ではない<br>(T1)<br>[sound:jva-0767_ではない.mp3]
Present Positive Polite<br>だ	です<br>(T1)<br>[sound:jva-0768_です.mp3]
Present Negative Polite<br>だ	ではありません<br>(T1)<br>[sound:jva-0769_ではありません.mp3]
Past Positive Plain<br>だ	だった<br>(T1)<br>[sound:jva-0770_だった.mp3]
Past Negative Plain<br>だ	ではなかった<br>(T1)<br>[sound:jva-0771_ではなかった.mp3]
Past Positive Polite<br>だ	でした<br>(T1)<br>[sound:jva-0772_でした.mp3]
Past Negative Polite<br>だ	ではありませんでした<br>(T1)<br>[sound:jva-0773_ではありませんでした.mp3]
-te Form<br>だ	で<br>(T1)<br>[sound:jva-0774_で.mp3]
Volitional<br>だ	だろう<br>(T1)<br>[sound:jva-0775_だろう.mp3]
Potential<br>だ	できる<br>(T1)<br>[sound:jva-0776_できる.mp3]
Passive<br>だ	される<br>(T1)<br>[sound:jva-0777_される.mp3]
Causative<br>だ	させる<br>(T1)<br>[sound:jva-0778_させる.mp3]
Imperative<br>だ	だろ<br>(T1)<br>[sound:jva-0779_だろ.mp3]
Conditional<br>だ	なら<br>(T1)<br>[sound:jva-0780_なら.mp3]
Present Positive Plain<br>する	する<br>(U1)<br>[sound:jva-0781_する.mp3]
Present Negative Plain<br>する	しない<br>(U1)<br>[sound:jva-0782_しない.mp3]
Present Positive Polite<br>する	します<br>(U1)<br>[sound:jva-0783_します.mp3]
Present Negative Polite<br>する	しません<br>(U1)<br>[sound:jva-0784_しません.mp3]
Past Positive Plain<br>する	した<br>(U1)<br>[sound:jva-0785_した.mp3]
Past Negative Plain<br>する	しなかった<br>(U1)<br>[sound:jva-0786_しなかった.mp3]
Past Positive Polite<br>する	しました<br>(U1)<br>[sound:jva-0787_しました.mp3]
Past Negative Polite<br>する	しませんでした<br>(U1)<br>[sound:jva-0788_しませんでした.mp3]
-te Form<br>する	して<br>(U1)<br>[sound:jva-0789_して.mp3]
Volitional<br>する	しよう<br>(U1)<br>[sound:jva-0790_しよう.mp3]
Potential<br>する	できる<br>(U1)<br>[sound:jva-0791_できる.mp3]
Passive<br>する	される<br>(U1)<br>[sound:jva-0792_される.mp3]
Causative<br>する	させる<br>(U1)<br>[sound:jva-0793_させる.mp3]
Imperative<br>する	しろ<br>(U1)<br>[sound:jva-0794_しろ.mp3]
Conditional<br>する	すれば<br>(U1)<br>[sound:jva-0795_すれば.mp3]
Present Positive Plain<br>使用する	使用する<br>(U2)<br>[sound:jva-0796_使用する.mp3]
Present Negative Plain<br>使用する	使用しない<br>(U2)<br>[sound:jva-0797_使用しない.mp3]
Present Positive Polite<br>使用する	使用します<br>(U2)<br>[sound:jva-0798_使用します.mp3]
Present Negative Polite<br>使用する	使用しません<br>(U2)<br>[sound:jva-0799_使用しません.mp3]
Past Positive Plain<br>使用する	使用した<br>(U2)<br>[sound:jva-0800_使用した.mp3]
Past Negative Plain<br>使用する	使用しなかった<br>(U2)<br>[sound:jva-0801_使用しなかった.mp3]
Past Positive Polite<br>使用する	使用しました<br>(U2)<br>[sound:jva-0802_使用しました.mp3]
Past Negative Polite<br>使用する	使用しませんでした<br>(U2)<br>[sound:jva-0803_使用しませんでした.mp3]
-te Form<br>使用する	使用して<br>(U2)<br>[sound:jva-0804_使用して.mp3]
Volitional<br>使用する	使用しよう<br>(U2)<br>[sound:jva-0805_使用しよう.mp3]
Potential<br>使用する	使用できる<br>(U2)<br>[sound:jva-0806_使用できる.mp3]
Passive<br>使用する	使用される<br>(U2)<br>[sound:jva-0807_使用される.mp3]
Causative<br>使用する	使用させる<br>(U2)<br>[sound:jva-0808_使用させる.mp3]
Imperative<br>使用する	使用しろ<br>(U2)<br>[sound:jva-0809_使用しろ.mp3]
Conditional<br>使用する	使用すれば<br>(U2)<br>[sound:jva-0810_使用すれば.mp3]
Present Positive Plain<br>表示する	表示する<br>(U3)<br>[sound:jva-0811_表示する.mp3]
Present Negative Plain<br>表示する	表示しない<br>(U3)<br>[sound:jva-0812_表示しない.mp3]
Present Positive Polite<br>表示する	表示します<br>(U3)<br>[sound:jva-0813_表示します.mp3]
Present Negative Polite<br>表示する	表示しません<br>(U3)<br>[sound:jva-0814_表示しません.mp3]
Past Positive Plain<br>表示する	表示した<br>(U3)<br>[sound:jva-0815_表示した.mp3]
Past Negative Plain<br>表示する	表示しなかった<br>(U3)<br>[sound:jva-0816_表示しなかった.mp3]
Past Positive Polite<br>表示する	表示しました<br>(U3)<br>[sound:jva-0817_表示しました.mp3]
Past Negative Polite<br>表示する	表示しませんでした<br>(U3)<br>[sound:jva-0818_表示しませんでした.mp3]
-te Form<br>表示する	表示して<br>(U3)<br>[sound:jva-0819_表示して.mp3]
Volitional<br>表示する	表示しよう<br>(U3)<br>[sound:jva-0820_表示しよう.mp3]
Potential<br>表示する	表示できる<br>(U3)<br>[sound:jva-0821_表示できる.mp3]
Passive<br>表示する	表示される<br>(U3)<br>[sound:jva-0822_表示される.mp3]
Causative<br>表示する	表示させる<br>(U3)<br>[sound:jva-0823_表示させる.mp3]
Imperative<br>表示する	表示しろ<br>(U3)<br>[sound:jva-0824_表示しろ.mp3]
Conditional<br>表示する	表示すれば<br>(U3)<br>[sound:jva-0825_表示すれば.mp3]
Present Positive Plain<br>くれる	くれる<br>(V1)<br>[sound:jva-0826_くれる.mp3]
Present Negative Plain<br>くれる	くれない<br>(V1)<br>[sound:jva-0827_くれない.mp3]
Present Positive Polite<br>くれる	くれます<br>(V1)<br>[sound:jva-0828_くれます.mp3]
Present Negative Polite<br>くれる	くれません<br>(V1)<br>[sound:jva-0829_くれません.mp3]
Past Positive Plain<br>くれる	くれた<br>(V1)<br>[sound:jva-0830_くれた.mp3]
Past Negative Plain<br>くれる	くれなかった<br>(V1)<br>[sound:jva-0831_くれなかった.mp3]
Past Positive Polite<br>くれる	くれました<br>(V1)<br>[sound:jva-0832_くれました.mp3]
Past Negative Polite<br>くれる	くれませんでした<br>(V1)<br>[sound:jva-0833_くれませんでした.mp3]
-te Form<br>くれる	くれて<br>(V1)<br>[sound:jva-0834_くれて.mp3]
Volitional<br>くれる	くれよう<br>(V1)<br>[sound:jva-0835_くれよう.mp3]
Potential<br>くれる	くれる<br>(V1)<br>[sound:jva-0836_くれる.mp3]
Passive<br>くれる	くれられる<br>(V1)<br>[sound:jva-0837_くれられる.mp3]
Causative<br>くれる	くれさせる<br>(V1)<br>[sound:jva-0838_くれさせる.mp3]
Imperative<br>くれる	くれ<br>(V1)<br>[sound:jva-0839_くれ.mp3]
Conditional<br>くれる	くれれば<br>(V1)<br>[sound:jva-0840_くれれば.mp3]
Present Positive Plain<br>呉れる	呉れる<br>(V2)<br>[sound:jva-0841_呉れる.mp3]
Present Negative Plain<br>呉れる	呉れない<br>(V2)<br>[sound:jva-0842_呉れない.mp3]
Present Positive Polite<br>呉れる	呉れます<br>(V2)<br>[sound:jva-0843_呉れます.mp3]
Present Negative Polite<br>呉れる	呉れません<br>(V2)<br>[sound:jva-0844_呉れません.mp3]
Past Positive Plain<br>呉れる	呉れた<br>(V2)<br>[sound:jva-0845_呉れた.mp3]
Past Negative Plain<br>呉れる	呉れなかった<br>(V2)<br>[sound:jva-0846_呉れなかった.mp3]
Past Positive Polite<br>呉れる	呉れました<br>(V2)<br>[sound:jva-0847_呉れました.mp3]
Past Negative Polite<br>呉れる	呉れませんでした<br>(V2)<br>[sound:jva-0848_呉れませんでした.mp3]
-te Form<br>呉れる	呉れて<br>(V2)<br>[sound:jva-0849_呉れて.mp3]
Volitional<br>呉れる	呉れよう<br>(V2)<br>[sound:jva-0850_呉れよう.mp3]
Potential<br>呉れる	呉れる<br>(V2)<br>[sound:jva-0851_呉れる.mp3]
Passive<br>呉れる	呉れられる<br>(V2)<br>[sound:jva-0852_呉れられる.mp3]
Causative<br>呉れる	呉れさせる<br>(V2)<br>[sound:jva-0853_呉れさせる.mp3]
Imperative<br>呉れる	呉れ<br>(V2)<br>[sound:jva-0854_呉れ.mp3]
Conditional<br>呉れる	呉れれば<br>(V2)<br>[sound:jva-0855_呉れれば.mp3]
Present Positive Plain<br>ある	ある<br>(W1)<br>[sound:jva-0856_ある.mp3]
Present Negative Plain<br>ある	ない<br>(W1)<br>[sound:jva-0857_ない.mp3]
Present Positive Polite<br>ある	あります<br>(W1)<br>[sound:jva-0858_あります.mp3]
Present Negative Polite<br>ある	ありません<br>(W1)<br>[sound:jva-0859_ありません.mp3]
Past Positive Plain<br>ある	あった<br>(W1)<br>[sound:jva-0860_あった.mp3]
Past Negative Plain<br>ある	なかった<br>(W1)<br>[sound:jva-0861_なかった.mp3]
Past Positive Polite<br>ある	ありました<br>(W1)<br>[sound:jva-0862_ありました.mp3]
Past Negative Polite<br>ある	ありませんでした<br>(W1)<br>[sound:jva-0863_ありませんでした.mp3]
-te Form<br>ある	あって<br>(W1)<br>[sound:jva-0864_あって.mp3]
Volitional<br>ある	あろう<br>(W1)<br>[sound:jva-0865_あろう.mp3]
Potential<br>ある	ありえる<br>(W1)<br>[sound:jva-0866_ありえる.mp3]
Passive<br>ある	ありえる<br>(W1)<br>[sound:jva-0867_ありえる.mp3]
Causative<br>ある	あらせる<br>(W1)<br>[sound:jva-0868_あらせる.mp3]
Imperative<br>ある	あれ<br>(W1)<br>[sound:jva-0869_あれ.mp3]
Conditional<br>ある	あれば<br>(W1)	
